customer_id,loan_id,risk_score_ml,risk_tier,segment_label
C01134,LN211125,75.1,Red,High-Risk Borrowers
C01136,LN377288,32.7,Green,Near-Prime Borrowers
C01137,LN625008,43.5,Amber,Near-Prime Borrowers
C01145,LN470074,34.7,Green,Near-Prime Borrowers
C01148,LN116223,41.0,Amber,Near-Prime Borrowers
C01149,LN233494,49.7,Amber,Prime Borrowers
C01150,LN733095,56.6,Amber,Prime Borrowers
C01152,LN570895,23.5,Green,Prime Borrowers
C01155,LN320780,13.4,Green,Prime Borrowers
C01156,LN894273,45.2,Amber,Near-Prime Borrowers
C01157,LN948477,60.4,Amber,Prime Borrowers
C01159,LN131960,40.5,Amber,Prime Borrowers
C01162,LN818276,26.7,Green,Near-Prime Borrowers
C01165,LN593456,21.3,Green,Prime Borrowers
C01167,LN478612,65.4,Red,High-Risk Borrowers
C01172,LN458387,74.9,Red,High-Risk Borrowers
C01174,LN278631,25.1,Green,Prime Borrowers
C01178,LN674459,11.8,Green,Prime Borrowers
C01184,LN240820,30.7,Green,Prime Borrowers
C01185,LN125772,41.4,Amber,Prime Borrowers
C01188,LN828946,61.4,Amber,High-Risk Borrowers
C01190,LN582484,16.3,Green,Prime Borrowers
C01193,LN725568,7.5,Green,Near-Prime Borrowers
C01195,LN414492,34.9,Green,Prime Borrowers
C01196,LN688810,6.7,Green,Prime Borrowers
C01197,LN228056,10.0,Green,Prime Borrowers
C01202,LN717792,44.2,Amber,Prime Borrowers
C01205,LN650698,78.2,Red,High-Risk Borrowers
C01207,LN261696,57.2,Amber,High-Risk Borrowers
C01208,LN274707,73.4,Red,High-Risk Borrowers
C01210,LN845120,23.5,Green,Prime Borrowers
C01215,LN394685,44.5,Amber,Prime Borrowers
C01216,LN772796,13.4,Green,Prime Borrowers
C01222,LN484205,17.0,Green,Prime Borrowers
C01223,LN589627,68.1,Red,High-Risk Borrowers
C01224,LN968496,26.8,Green,Near-Prime Borrowers
C01227,LN983309,50.6,Amber,High-Risk Borrowers
C01228,LN843413,74.1,Red,High-Risk Borrowers
C01230,LN440159,61.7,Amber,Prime Borrowers
C01231,LN791166,10.8,Green,Near-Prime Borrowers
C01232,LN151577,60.7,Amber,Prime Borrowers
C01233,LN260590,40.2,Amber,Prime Borrowers
C01236,LN214648,12.1,Green,Near-Prime Borrowers
C01237,LN917458,10.3,Green,Near-Prime Borrowers
C01241,LN741199,14.8,Green,Near-Prime Borrowers
C01243,LN703319,57.4,Amber,Prime Borrowers
C01247,LN650350,77.1,Red,High-Risk Borrowers
C01249,LN880968,23.7,Green,Prime Borrowers
C01251,LN547668,67.8,Red,High-Risk Borrowers
C01253,LN546376,17.8,Green,Prime Borrowers
C01255,LN546541,15.9,Green,Prime Borrowers
C01256,LN672492,41.2,Amber,Near-Prime Borrowers
C01263,LN670226,34.0,Green,Prime Borrowers
C01270,LN238139,71.7,Red,High-Risk Borrowers
C01271,LN548542,12.8,Green,Prime Borrowers
C01272,LN435309,16.3,Green,Near-Prime Borrowers
C01275,LN213684,52.5,Amber,High-Risk Borrowers
C01276,LN642166,60.3,Amber,Prime Borrowers
C01278,LN401816,76.8,Red,High-Risk Borrowers
C01279,LN432354,41.1,Amber,Prime Borrowers
C01280,LN836831,30.7,Green,Prime Borrowers
C01282,LN696245,10.0,Green,Near-Prime Borrowers
C01283,LN455588,56.1,Amber,Prime Borrowers
C01285,LN776941,52.4,Amber,Prime Borrowers
C01287,LN315711,9.6,Green,Prime Borrowers
C01288,LN587555,14.1,Green,Prime Borrowers
C01291,LN988972,33.4,Green,Prime Borrowers
C01297,LN697563,47.7,Amber,Prime Borrowers
C01298,LN258815,37.9,Amber,Prime Borrowers
C01301,LN493941,73.4,Red,High-Risk Borrowers
C01304,LN625671,62.3,Amber,High-Risk Borrowers
C01306,LN658800,35.8,Amber,Prime Borrowers
C01308,LN298554,43.3,Amber,High-Risk Borrowers
C01309,LN914125,33.0,Green,Prime Borrowers
C01311,LN206272,34.4,Green,High-Risk Borrowers
C01315,LN933753,64.5,Amber,High-Risk Borrowers
C01317,LN749195,10.8,Green,Prime Borrowers
C01318,LN195348,44.5,Amber,Prime Borrowers
C01320,LN124588,48.4,Amber,Prime Borrowers
C01321,LN637444,17.2,Green,Prime Borrowers
C01323,LN194992,70.0,Red,Near-Prime Borrowers
C01327,LN193511,26.4,Green,Prime Borrowers
C01329,LN791377,7.8,Green,Prime Borrowers
C01331,LN195934,15.6,Green,Prime Borrowers
C01332,LN677785,30.9,Green,Near-Prime Borrowers
C01333,LN661733,71.4,Red,High-Risk Borrowers
C01334,LN405284,27.0,Green,Subprime Borrowers
C01337,LN549401,67.7,Red,High-Risk Borrowers
C01339,LN267850,10.4,Green,Near-Prime Borrowers
C01341,LN121135,38.8,Amber,Near-Prime Borrowers
C01343,LN355794,13.4,Green,Prime Borrowers
C01344,LN115523,36.0,Amber,Near-Prime Borrowers
C01345,LN166400,8.8,Green,Prime Borrowers
C01346,LN160205,44.3,Amber,High-Risk Borrowers
C01350,LN362180,49.1,Amber,Prime Borrowers
C01351,LN831805,65.8,Red,High-Risk Borrowers
C01353,LN437719,62.3,Amber,Prime Borrowers
C01355,LN291901,33.6,Green,Near-Prime Borrowers
C01356,LN391142,77.3,Red,Near-Prime Borrowers
C01357,LN154908,8.3,Green,Prime Borrowers
C01358,LN563006,39.6,Amber,High-Risk Borrowers
C01359,LN701524,39.8,Amber,Prime Borrowers
C01362,LN316125,65.9,Red,Near-Prime Borrowers
C01364,LN291125,55.6,Amber,Prime Borrowers
C01365,LN103850,8.5,Green,Near-Prime Borrowers
C01366,LN702430,56.4,Amber,Prime Borrowers
C01368,LN673323,11.7,Green,Prime Borrowers
C01372,LN888369,71.3,Red,High-Risk Borrowers
C01373,LN816147,55.2,Amber,High-Risk Borrowers
C01374,LN837905,73.2,Red,High-Risk Borrowers
C01378,LN215496,30.5,Green,Prime Borrowers
C01380,LN887527,45.6,Amber,Prime Borrowers
C01384,LN160954,39.3,Amber,Prime Borrowers
C01385,LN285466,18.8,Green,Prime Borrowers
C01386,LN164690,13.7,Green,Prime Borrowers
C01387,LN845906,28.1,Green,Near-Prime Borrowers
C01389,LN525849,62.6,Amber,Prime Borrowers
C01392,LN745994,27.5,Green,Prime Borrowers
C01393,LN386512,47.2,Amber,Prime Borrowers
C01395,LN462007,40.7,Amber,Prime Borrowers
C01396,LN108615,20.9,Green,Prime Borrowers
C01397,LN410156,28.5,Green,Prime Borrowers
C01399,LN453136,17.9,Green,Near-Prime Borrowers
C01405,LN613771,12.4,Green,Prime Borrowers
C01406,LN269399,14.9,Green,Prime Borrowers
C01411,LN313894,45.3,Amber,Prime Borrowers
C01412,LN798119,67.8,Red,High-Risk Borrowers
C01413,LN773168,14.1,Green,Prime Borrowers
C01414,LN802224,63.5,Amber,Prime Borrowers
C01415,LN591643,16.7,Green,Prime Borrowers
C01419,LN513833,8.1,Green,Prime Borrowers
C01420,LN393735,56.3,Amber,High-Risk Borrowers
C01429,LN273875,10.2,Green,Near-Prime Borrowers
C01430,LN777370,46.3,Amber,Prime Borrowers
C01433,LN564905,17.0,Green,Prime Borrowers
C01434,LN262439,68.8,Red,High-Risk Borrowers
C01443,LN435892,36.2,Amber,Prime Borrowers
C01445,LN238807,15.9,Green,Near-Prime Borrowers
C01446,LN358886,40.0,Amber,Prime Borrowers
C01450,LN364389,24.9,Green,Near-Prime Borrowers
C01453,LN261029,44.2,Amber,Prime Borrowers
C01454,LN230291,29.0,Green,Prime Borrowers
C01457,LN832192,61.5,Amber,High-Risk Borrowers
C01459,LN521836,35.9,Amber,Near-Prime Borrowers
C01461,LN572575,30.1,Green,Prime Borrowers
C01462,LN380741,69.7,Red,High-Risk Borrowers
C01463,LN554629,53.8,Amber,Prime Borrowers
C01467,LN701755,67.9,Red,High-Risk Borrowers
C01468,LN966335,39.7,Amber,Prime Borrowers
C01470,LN802998,44.8,Amber,Prime Borrowers
C01472,LN628766,14.7,Green,Prime Borrowers
C01473,LN261477,20.4,Green,Prime Borrowers
C01478,LN845840,16.6,Green,Prime Borrowers
C01480,LN857863,68.3,Red,Prime Borrowers
C01483,LN981079,16.1,Green,Prime Borrowers
C01489,LN551442,50.2,Amber,Near-Prime Borrowers
C01491,LN329820,20.8,Green,Prime Borrowers
C01496,LN306740,64.5,Amber,High-Risk Borrowers
C01498,LN189037,44.2,Amber,High-Risk Borrowers
C01501,LN168621,56.9,Amber,Near-Prime Borrowers
C01504,LN356756,32.3,Green,Prime Borrowers
C01506,LN874966,35.9,Amber,Prime Borrowers
C01508,LN939309,16.7,Green,Prime Borrowers
C01510,LN401326,38.1,Amber,High-Risk Borrowers
C01511,LN213023,53.0,Amber,Prime Borrowers
C01513,LN692397,75.0,Red,High-Risk Borrowers
C01516,LN780267,16.9,Green,Near-Prime Borrowers
C01519,LN705587,19.5,Green,Prime Borrowers
C01520,LN119460,16.3,Green,Prime Borrowers
C01521,LN573368,55.7,Amber,Prime Borrowers
C01522,LN457578,42.6,Amber,Prime Borrowers
C01524,LN802930,56.3,Amber,Prime Borrowers
C01529,LN867787,13.3,Green,Near-Prime Borrowers
C01530,LN354487,40.9,Amber,High-Risk Borrowers
C01531,LN866869,13.0,Green,Prime Borrowers
C01532,LN739147,39.5,Amber,Near-Prime Borrowers
C01537,LN863106,42.1,Amber,Near-Prime Borrowers
C01539,LN448381,60.4,Amber,Prime Borrowers
C01544,LN360187,17.4,Green,Near-Prime Borrowers
C01545,LN180930,74.7,Red,High-Risk Borrowers
C01547,LN228979,15.2,Green,Prime Borrowers
C01548,LN847215,38.5,Amber,Prime Borrowers
C01550,LN448287,20.4,Green,Prime Borrowers
C01551,LN750823,36.3,Amber,High-Risk Borrowers
C01552,LN450781,44.1,Amber,Prime Borrowers
C01555,LN696486,51.7,Amber,High-Risk Borrowers
C01556,LN988278,42.2,Amber,High-Risk Borrowers
C01558,LN225767,63.3,Amber,High-Risk Borrowers
C01559,LN224181,44.3,Amber,Near-Prime Borrowers
C01562,LN161030,59.4,Amber,Near-Prime Borrowers
C01565,LN251846,40.9,Amber,Near-Prime Borrowers
C01566,LN525972,13.8,Green,Near-Prime Borrowers
C01570,LN673520,49.2,Amber,Prime Borrowers
C01572,LN826356,35.6,Amber,Near-Prime Borrowers
C01573,LN437320,12.4,Green,Near-Prime Borrowers
C01574,LN332960,37.9,Amber,Prime Borrowers
C01577,LN388365,57.9,Amber,Prime Borrowers
C01578,LN630590,32.5,Green,Prime Borrowers
C01580,LN254485,15.9,Green,Prime Borrowers
C01583,LN717670,47.2,Amber,High-Risk Borrowers
C01584,LN877346,38.7,Amber,Prime Borrowers
C01585,LN336973,63.3,Amber,Prime Borrowers
C01589,LN883842,51.5,Amber,Prime Borrowers
C01590,LN550882,13.8,Green,Prime Borrowers
C01591,LN151366,11.5,Green,Prime Borrowers
C01594,LN958788,38.3,Amber,Prime Borrowers
C01596,LN563919,37.2,Amber,Prime Borrowers
C01597,LN702764,48.4,Amber,Prime Borrowers
C01598,LN713411,58.4,Amber,Prime Borrowers
C01599,LN576534,57.1,Amber,Prime Borrowers
C01600,LN128974,14.1,Green,Prime Borrowers
C01601,LN321568,57.7,Amber,High-Risk Borrowers
C01604,LN572182,51.9,Amber,Prime Borrowers
C01605,LN414250,45.5,Amber,Prime Borrowers
C01606,LN323300,69.5,Red,High-Risk Borrowers
C01611,LN662158,33.3,Green,Prime Borrowers
C01612,LN597575,67.4,Red,Prime Borrowers
C01613,LN757118,19.3,Green,Prime Borrowers
C01614,LN698020,49.6,Amber,High-Risk Borrowers
C01615,LN128501,13.1,Green,Prime Borrowers
C01619,LN772200,51.8,Amber,Prime Borrowers
C01622,LN521404,53.6,Amber,Prime Borrowers
C01626,LN140718,58.0,Amber,Prime Borrowers
C01629,LN919353,11.6,Green,Near-Prime Borrowers
C01635,LN816354,71.2,Red,Prime Borrowers
C01638,LN763918,37.0,Amber,Prime Borrowers
C01639,LN443126,39.1,Amber,Near-Prime Borrowers
C01641,LN747026,47.5,Amber,Prime Borrowers
C01645,LN306624,24.5,Green,Near-Prime Borrowers
C01648,LN760366,11.0,Green,Prime Borrowers
C01651,LN717701,43.8,Amber,Prime Borrowers
C01652,LN984584,31.7,Green,Near-Prime Borrowers
C01653,LN603627,57.1,Amber,High-Risk Borrowers
C01654,LN960515,40.9,Amber,Near-Prime Borrowers
C01656,LN998705,36.7,Amber,Near-Prime Borrowers
C01657,LN548379,50.1,Amber,Prime Borrowers
C01659,LN916356,35.3,Amber,Prime Borrowers
C01660,LN191207,70.4,Red,Near-Prime Borrowers
C01664,LN212441,34.2,Green,Prime Borrowers
C01672,LN506598,43.6,Amber,Near-Prime Borrowers
C01673,LN520542,22.5,Green,Prime Borrowers
C01674,LN622454,18.3,Green,Prime Borrowers
C01675,LN810470,69.5,Red,Prime Borrowers
C01676,LN273790,44.9,Amber,Prime Borrowers
C01679,LN614913,15.6,Green,Prime Borrowers
C01681,LN198527,48.5,Amber,Prime Borrowers
C01683,LN402589,9.6,Green,Prime Borrowers
C01686,LN719505,5.6,Green,Prime Borrowers
C01687,LN787031,29.9,Green,Prime Borrowers
C01689,LN160519,24.1,Green,Prime Borrowers
C01691,LN818609,35.4,Amber,Prime Borrowers
C01696,LN917752,57.6,Amber,High-Risk Borrowers
C01698,LN411494,30.9,Green,Near-Prime Borrowers
C01700,LN528469,14.9,Green,Prime Borrowers
C01701,LN151300,18.6,Green,Near-Prime Borrowers
C01704,LN890558,62.8,Amber,Prime Borrowers
C01709,LN729331,18.2,Green,Near-Prime Borrowers
C01712,LN134841,29.7,Green,Prime Borrowers
C01714,LN847528,58.5,Amber,Prime Borrowers
C01718,LN956296,57.2,Amber,Near-Prime Borrowers
C01719,LN873052,42.4,Amber,Near-Prime Borrowers
C01722,LN953818,71.2,Red,High-Risk Borrowers
C01724,LN488269,39.5,Amber,Prime Borrowers
C01725,LN946129,15.7,Green,Prime Borrowers
C01727,LN811682,6.6,Green,Prime Borrowers
C01730,LN437072,13.9,Green,Prime Borrowers
C01732,LN293525,35.7,Amber,Prime Borrowers
C01733,LN724866,34.6,Green,Prime Borrowers
C01742,LN444235,61.5,Amber,Prime Borrowers
C01743,LN181239,48.5,Amber,High-Risk Borrowers
C01744,LN382072,77.8,Red,High-Risk Borrowers
C01745,LN788292,48.6,Amber,High-Risk Borrowers
C01746,LN308878,57.1,Amber,High-Risk Borrowers
C01748,LN430877,54.3,Amber,Prime Borrowers
C01751,LN682080,31.4,Green,Prime Borrowers
C01753,LN748347,68.6,Red,Prime Borrowers
C01754,LN586704,20.5,Green,Subprime Borrowers
C01757,LN321805,11.7,Green,Prime Borrowers
C01758,LN251679,41.8,Amber,Prime Borrowers
C01761,LN246013,38.9,Amber,Prime Borrowers
C01762,LN896588,19.1,Green,Near-Prime Borrowers
C01765,LN285049,68.1,Red,Near-Prime Borrowers
C01766,LN339873,11.4,Green,Prime Borrowers
C01768,LN203632,13.8,Green,Prime Borrowers
C01769,LN550444,39.7,Amber,Near-Prime Borrowers
C01770,LN847940,39.7,Amber,Prime Borrowers
C01771,LN485703,40.0,Amber,Prime Borrowers
C01774,LN966887,66.7,Red,Near-Prime Borrowers
C01775,LN510046,59.5,Amber,Prime Borrowers
C01778,LN483018,15.2,Green,Near-Prime Borrowers
C01779,LN319757,17.0,Green,Prime Borrowers
C01780,LN373651,37.6,Amber,Near-Prime Borrowers
C01781,LN951544,20.1,Green,Near-Prime Borrowers
C01783,LN224349,15.6,Green,Near-Prime Borrowers
C01784,LN485893,64.1,Amber,High-Risk Borrowers
C01786,LN853580,21.4,Green,Prime Borrowers
C01787,LN366620,47.5,Amber,High-Risk Borrowers
C01788,LN115040,13.6,Green,Prime Borrowers
C01790,LN462635,40.7,Amber,Prime Borrowers
C01791,LN221420,22.1,Green,Prime Borrowers
C01792,LN852220,67.8,Red,Prime Borrowers
C01793,LN184393,52.9,Amber,High-Risk Borrowers
C01800,LN862868,44.0,Amber,Prime Borrowers
C01801,LN745245,11.8,Green,Prime Borrowers
C01803,LN512895,64.1,Amber,High-Risk Borrowers
C01804,LN183169,30.8,Green,Prime Borrowers
C01805,LN538659,11.1,Green,Prime Borrowers
C01807,LN436338,11.4,Green,Prime Borrowers
C01809,LN463836,17.2,Green,Prime Borrowers
C01810,LN867444,36.8,Amber,Prime Borrowers
C01814,LN294926,9.2,Green,Prime Borrowers
C01815,LN456392,9.9,Green,Near-Prime Borrowers
C01816,LN319039,30.6,Green,Subprime Borrowers
C01820,LN836354,17.3,Green,Prime Borrowers
C01823,LN691254,47.5,Amber,Prime Borrowers
C01827,LN923931,74.2,Red,Near-Prime Borrowers
C01830,LN201833,17.5,Green,Near-Prime Borrowers
C01832,LN137923,48.7,Amber,Prime Borrowers
C01833,LN994467,44.8,Amber,Near-Prime Borrowers
C01834,LN344632,33.4,Green,Prime Borrowers
C01835,LN845636,15.7,Green,Prime Borrowers
C01836,LN352251,35.8,Amber,Prime Borrowers
C01839,LN466290,9.3,Green,Prime Borrowers
C01840,LN604025,59.0,Amber,Prime Borrowers
C01842,LN249168,55.6,Amber,Prime Borrowers
C01846,LN264917,24.1,Green,Prime Borrowers
C01847,LN109027,10.8,Green,Prime Borrowers
C01848,LN829621,11.4,Green,Prime Borrowers
C01849,LN359994,49.8,Amber,High-Risk Borrowers
C01850,LN412766,34.9,Green,High-Risk Borrowers
C01851,LN554471,69.6,Red,High-Risk Borrowers
C01857,LN951915,18.2,Green,Prime Borrowers
C01858,LN438999,9.4,Green,Near-Prime Borrowers
C01860,LN306949,62.7,Amber,Prime Borrowers
C01862,LN443353,34.7,Green,Near-Prime Borrowers
C01864,LN307271,61.6,Amber,Prime Borrowers
C01865,LN179073,32.5,Green,Near-Prime Borrowers
C01867,LN958799,10.5,Green,Near-Prime Borrowers
C01868,LN725630,46.8,Amber,Prime Borrowers
C01870,LN645063,46.5,Amber,Prime Borrowers
C01873,LN569658,52.2,Amber,High-Risk Borrowers
C01875,LN607376,23.0,Green,Near-Prime Borrowers
C01877,LN296818,35.0,Amber,Prime Borrowers
C01878,LN433400,39.6,Amber,Prime Borrowers
C01882,LN802664,15.5,Green,Prime Borrowers
C01883,LN559230,52.7,Amber,High-Risk Borrowers
C01884,LN202195,42.3,Amber,Prime Borrowers
C01887,LN461378,19.6,Green,Near-Prime Borrowers
C01888,LN645038,38.9,Amber,Prime Borrowers
C01889,LN798519,55.3,Amber,High-Risk Borrowers
C01891,LN950613,76.6,Red,High-Risk Borrowers
C01892,LN759242,35.2,Amber,Prime Borrowers
C01896,LN889796,56.0,Amber,Near-Prime Borrowers
C01897,LN396826,44.2,Amber,Prime Borrowers
C01898,LN647120,63.3,Amber,Prime Borrowers
C01902,LN549311,72.5,Red,High-Risk Borrowers
C01906,LN255326,37.5,Amber,Prime Borrowers
C01909,LN242494,56.9,Amber,Prime Borrowers
C01912,LN259415,12.8,Green,Prime Borrowers
C01918,LN463217,39.3,Amber,Prime Borrowers
C01920,LN571363,40.5,Amber,High-Risk Borrowers
C01922,LN688213,57.3,Amber,Prime Borrowers
C01923,LN713615,66.4,Red,High-Risk Borrowers
C01925,LN483346,9.2,Green,Prime Borrowers
C01928,LN122819,43.7,Amber,High-Risk Borrowers
C01930,LN379056,13.5,Green,Near-Prime Borrowers
C01932,LN572390,20.5,Green,Prime Borrowers
C01934,LN258481,15.7,Green,Prime Borrowers
C01935,LN467483,61.2,Amber,High-Risk Borrowers
C01936,LN846069,51.5,Amber,Prime Borrowers
C01944,LN400694,13.6,Green,Near-Prime Borrowers
C01945,LN277869,14.9,Green,Prime Borrowers
C01946,LN420488,9.8,Green,Prime Borrowers
C01947,LN199609,12.9,Green,Prime Borrowers
C01948,LN129322,31.6,Green,Prime Borrowers
C01951,LN976957,49.1,Amber,Near-Prime Borrowers
C01954,LN767266,12.3,Green,Prime Borrowers
C01955,LN427747,24.3,Green,Prime Borrowers
C01957,LN310774,44.6,Amber,Prime Borrowers
C01958,LN904935,18.6,Green,Near-Prime Borrowers
C01960,LN266587,65.6,Red,High-Risk Borrowers
C01963,LN342868,36.5,Amber,High-Risk Borrowers
C01966,LN693843,12.0,Green,Prime Borrowers
C01967,LN779224,56.2,Amber,Prime Borrowers
C01968,LN163364,56.2,Amber,Prime Borrowers
C01969,LN146674,61.7,Amber,Near-Prime Borrowers
C01970,LN128510,34.4,Green,Prime Borrowers
C01971,LN747414,52.4,Amber,High-Risk Borrowers
C01973,LN216300,9.0,Green,Prime Borrowers
C01974,LN371337,56.9,Amber,High-Risk Borrowers
C01975,LN661132,51.2,Amber,Prime Borrowers
C01976,LN807837,49.8,Amber,High-Risk Borrowers
C01977,LN991086,29.5,Green,Prime Borrowers
C01980,LN570151,13.2,Green,Prime Borrowers
C01983,LN807996,41.5,Amber,Prime Borrowers
C01988,LN398174,42.6,Amber,High-Risk Borrowers
C01991,LN598317,60.4,Amber,High-Risk Borrowers
C01993,LN679068,42.4,Amber,High-Risk Borrowers
C01994,LN500032,34.3,Green,Prime Borrowers
C01995,LN964543,21.7,Green,High-Risk Borrowers
C01996,LN484342,51.0,Amber,Prime Borrowers
C01998,LN549503,55.5,Amber,Near-Prime Borrowers
C02000,LN516156,45.8,Amber,Prime Borrowers
C02006,LN308727,37.4,Amber,Prime Borrowers
C02007,LN739306,64.2,Amber,High-Risk Borrowers
C02009,LN366346,57.5,Amber,Near-Prime Borrowers
C02011,LN348755,51.2,Amber,Prime Borrowers
C02012,LN940991,14.0,Green,Near-Prime Borrowers
C02014,LN622916,9.5,Green,Near-Prime Borrowers
C02015,LN580490,25.2,Green,Near-Prime Borrowers
C02016,LN517319,11.9,Green,Near-Prime Borrowers
C02019,LN605182,67.9,Red,High-Risk Borrowers
C02024,LN373824,30.5,Green,Near-Prime Borrowers
C02025,LN640622,55.0,Amber,Prime Borrowers
C02027,LN957986,54.0,Amber,Prime Borrowers
C02028,LN134720,9.2,Green,Near-Prime Borrowers
C02033,LN704076,15.4,Green,Prime Borrowers
C02034,LN692610,74.1,Red,High-Risk Borrowers
C02035,LN148427,17.2,Green,Prime Borrowers
C02038,LN863345,55.3,Amber,Near-Prime Borrowers
C02039,LN229947,64.5,Amber,Near-Prime Borrowers
C02043,LN859108,51.7,Amber,Prime Borrowers
C02045,LN390104,20.0,Green,Prime Borrowers
C02048,LN981437,40.4,Amber,High-Risk Borrowers
C02049,LN659745,67.6,Red,Prime Borrowers
C02050,LN385003,27.8,Green,Prime Borrowers
C02051,LN659508,21.1,Green,Prime Borrowers
C02052,LN867594,54.6,Amber,Prime Borrowers
C02053,LN631616,50.6,Amber,Prime Borrowers
C02055,LN381147,66.4,Red,High-Risk Borrowers
C02056,LN451545,26.3,Green,Prime Borrowers
C02058,LN911848,40.9,Amber,Near-Prime Borrowers
C02059,LN303618,65.8,Red,High-Risk Borrowers
C02061,LN337151,53.4,Amber,High-Risk Borrowers
C02063,LN827848,16.6,Green,Prime Borrowers
C02065,LN342104,80.5,Red,High-Risk Borrowers
C02067,LN741073,36.7,Amber,Near-Prime Borrowers
C02071,LN789536,15.4,Green,Near-Prime Borrowers
C02072,LN406728,41.8,Amber,High-Risk Borrowers
C02076,LN451152,13.2,Green,Prime Borrowers
C02079,LN835263,28.4,Green,Prime Borrowers
C02081,LN305276,16.3,Green,Prime Borrowers
C02083,LN518926,34.2,Green,Prime Borrowers
C02089,LN918679,11.8,Green,Prime Borrowers
C02090,LN690273,48.5,Amber,High-Risk Borrowers
C02091,LN970243,63.4,Amber,Prime Borrowers
C02092,LN253616,16.5,Green,Near-Prime Borrowers
C02096,LN317969,31.7,Green,High-Risk Borrowers
C02097,LN438124,48.2,Amber,Prime Borrowers
C02098,LN139657,15.0,Green,Near-Prime Borrowers
C02100,LN816043,15.0,Green,Prime Borrowers
C02101,LN619125,15.6,Green,Near-Prime Borrowers
C02103,LN381012,72.5,Red,High-Risk Borrowers
C02106,LN924081,21.8,Green,Prime Borrowers
C02109,LN904178,45.6,Amber,Prime Borrowers
C02112,LN316721,40.3,Amber,Prime Borrowers
C02113,LN116097,57.5,Amber,High-Risk Borrowers
C02114,LN346366,58.1,Amber,Prime Borrowers
C02119,LN544049,41.1,Amber,Prime Borrowers
C02121,LN228253,61.5,Amber,High-Risk Borrowers
C02122,LN117653,57.3,Amber,Prime Borrowers
C02125,LN441026,34.9,Green,High-Risk Borrowers
C02127,LN331860,56.0,Amber,Prime Borrowers
C02128,LN450380,28.8,Green,Prime Borrowers
C02129,LN774864,54.7,Amber,Prime Borrowers
C02131,LN876082,59.7,Amber,High-Risk Borrowers
C02135,LN304177,30.0,Green,Prime Borrowers
C02139,LN119432,24.1,Green,Subprime Borrowers
C02141,LN305137,19.3,Green,Prime Borrowers
C02142,LN571247,34.8,Green,Prime Borrowers
C02144,LN517817,11.6,Green,Prime Borrowers
C02145,LN266333,12.1,Green,Prime Borrowers
C02146,LN650899,59.5,Amber,Prime Borrowers
C02147,LN699027,53.9,Amber,Prime Borrowers
C02149,LN765697,51.8,Amber,Prime Borrowers
C02152,LN409768,34.0,Green,Near-Prime Borrowers
C02155,LN258638,71.2,Red,High-Risk Borrowers
C02156,LN524632,23.0,Green,Prime Borrowers
C02160,LN944220,37.7,Amber,Prime Borrowers
C02168,LN758693,20.7,Green,Prime Borrowers
C02169,LN652359,43.8,Amber,Prime Borrowers
C02170,LN131164,38.1,Amber,Prime Borrowers
C02172,LN496114,43.9,Amber,High-Risk Borrowers
C02176,LN764654,31.5,Green,Prime Borrowers
C02177,LN122003,29.6,Green,Prime Borrowers
C02178,LN979600,19.3,Green,Prime Borrowers
C02180,LN247903,32.1,Green,Prime Borrowers
C02181,LN951155,45.4,Amber,Prime Borrowers
C02186,LN919092,40.5,Amber,Prime Borrowers
C02194,LN599935,20.0,Green,Prime Borrowers
C02195,LN897479,63.0,Amber,High-Risk Borrowers
C02197,LN114443,37.9,Amber,High-Risk Borrowers
C02199,LN902444,53.6,Amber,Near-Prime Borrowers
C02201,LN933965,40.0,Amber,Prime Borrowers
C02202,LN921147,56.3,Amber,Prime Borrowers
C02209,LN339410,31.1,Green,Prime Borrowers
C02215,LN642071,20.2,Green,Prime Borrowers
C02216,LN219518,23.7,Green,Prime Borrowers
C02221,LN341837,19.7,Green,Prime Borrowers
C02225,LN961452,45.5,Amber,Prime Borrowers
C02229,LN501923,45.6,Amber,Prime Borrowers
C02232,LN615741,36.8,Amber,Prime Borrowers
C02245,LN474594,27.5,Green,High-Risk Borrowers
C02249,LN164331,20.2,Green,Prime Borrowers
C02250,LN444616,51.2,Amber,Prime Borrowers
C02251,LN311481,42.7,Amber,Prime Borrowers
C02252,LN917008,71.5,Red,High-Risk Borrowers
C02254,LN270320,40.2,Amber,Prime Borrowers
C02257,LN412345,33.7,Green,High-Risk Borrowers
C02258,LN578882,27.0,Green,Prime Borrowers
C02262,LN617916,31.1,Green,Near-Prime Borrowers
C02263,LN446280,52.4,Amber,Near-Prime Borrowers
C02264,LN769444,34.8,Green,Prime Borrowers
C02266,LN912338,36.0,Amber,Near-Prime Borrowers
C02269,LN848372,77.3,Red,High-Risk Borrowers
C02272,LN703124,28.9,Green,Near-Prime Borrowers
C02273,LN187725,33.1,Green,Prime Borrowers
C02280,LN345620,30.9,Green,Prime Borrowers
C02285,LN584892,52.9,Amber,High-Risk Borrowers
C02286,LN335051,33.7,Green,Near-Prime Borrowers
C02287,LN771766,11.0,Green,Prime Borrowers
C02289,LN727228,40.9,Amber,Prime Borrowers
C02293,LN390098,36.9,Amber,Prime Borrowers
C02298,LN417205,61.1,Amber,High-Risk Borrowers
C02301,LN602243,68.3,Red,Near-Prime Borrowers
C02303,LN209969,57.3,Amber,Prime Borrowers
C02305,LN943178,38.0,Amber,Prime Borrowers
