loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted
LN963040,C01425,Personal,858551,697953,24,18.7,35081.2,0.91,2025-08-22,65,35,0.41,High,0,Insufficient Repayment Capacity,1.51,Rejected,0
LN194314,C01426,Personal,1175432,1031365,36,12.64,34572.2,1.05,2025-09-19,58,42,0.368,High,0,Insufficient Repayment Capacity,2.61,Rejected,0
LN975179,C01427,Home Renovation,1328783,1220046,60,11.82,27028.4,0.59,2024-12-12,68,32,0.428,High,0,Insufficient Repayment Capacity,2.2,Rejected,0
LN318741,C01428,Personal,2821242,2116724,24,22.86,110712.76,1.18,2024-12-28,60,40,0.38,High,0,Insufficient Repayment Capacity,1.87,Rejected,0
LN180229,C01429,Medical,3471667,3420843,12,19.07,315367.48,3.1,2024-06-14,51,49,0.326,High,0,Insufficient Repayment Capacity,2.8,Rejected,0
LN624298,C01430,Personal,1328827,1265328,24,13.86,60668.39,0.65,2026-05-13,43,57,0.278,Medium,1,N/A,1.12,Active,0
LN548642,C01431,Business,993027,914085,60,15.64,22054.3,0.6,2024-10-26,68,32,0.428,High,0,Insufficient Repayment Capacity,2.07,Rejected,0
LN889842,C01432,Business,914405,686738,48,13.75,18680.12,0.24,2025-04-19,22,78,0.152,Low,1,N/A,0.73,Defaulted,1
LN572927,C01433,Medical,1078917,1013267,36,17.32,36287.31,0.79,2026-02-27,45,55,0.29,Medium,0,Insufficient Repayment Capacity,1.85,Rejected,0
LN418933,C01434,Education,133212,105446,48,10.01,2674.89,0.22,2025-06-06,51,49,0.326,High,1,N/A,0.71,Active,0
LN552988,C01435,Medical,400094,360838,24,11.64,16925.3,0.27,2024-07-27,35,65,0.23,Medium,1,N/A,0.48,Active,0
LN841873,C01436,Vehicle,904873,752513,48,9.34,18848.04,0.18,2025-06-09,52,48,0.332,High,1,N/A,0.6,Closed,0
LN980172,C01437,Personal,2809944,2321598,24,15.01,112577.54,1.38,2025-10-22,61,39,0.386,High,0,Insufficient Repayment Capacity,2.37,Rejected,0
LN815913,C01438,Personal,285227,267890,36,16.45,9477.84,0.1,2025-11-15,10,90,0.08,Low,1,N/A,0.23,Active,0
LN762153,C01439,Personal,1320517,1115844,36,22.5,42903.76,0.62,2025-12-14,50,50,0.32,High,0,Insufficient Repayment Capacity,1.34,Rejected,0
LN430474,C01440,Medical,3037286,2676872,24,11.48,125360.6,1.39,2025-07-02,73,27,0.458,High,0,Insufficient Repayment Capacity,2.48,Rejected,0
LN831341,C01441,Medical,2319785,2081384,24,16.67,102578.61,0.94,2025-10-05,25,75,0.17,Medium,0,Insufficient Repayment Capacity,1.58,Rejected,0
LN926844,C01442,Medical,846482,767490,36,18.89,28090.46,0.34,2025-10-14,38,62,0.248,Medium,1,N/A,0.77,Closed,0
LN953272,C01443,Business,889761,849534,60,11.18,18547.28,0.43,2025-06-06,20,80,0.14,Low,1,N/A,1.63,Active,0
LN222623,C01444,Business,453810,440427,60,12.98,10016.56,0.14,2025-12-25,48,52,0.308,Medium,1,N/A,0.52,Defaulted,1
LN911281,C01445,Business,2004103,1478876,48,15.35,41421.08,0.33,2026-04-15,37,63,0.242,Medium,1,N/A,0.99,Defaulted,1
LN937782,C01446,Vehicle,2198936,2149180,36,10.19,69539.87,0.75,2025-04-02,60,40,0.38,High,0,Insufficient Repayment Capacity,1.94,Rejected,0
LN737451,C01447,Vehicle,1610312,1267423,36,11.84,41999.79,0.36,2025-05-29,52,48,0.332,High,1,N/A,0.91,Defaulted,1
LN560453,C01448,Personal,1034262,822112,36,20.27,30665.85,0.89,2025-03-07,65,35,0.41,High,0,Insufficient Repayment Capacity,1.99,Rejected,0
LN973931,C01449,Home Renovation,3215327,2304992,48,11.99,60687.96,0.58,2026-04-06,55,45,0.35,High,0,Insufficient Repayment Capacity,1.82,Rejected,0
LN397741,C01450,Business,2649758,2392164,36,10.7,77976.97,0.58,2024-07-31,32,68,0.212,Medium,1,N/A,1.48,Closed,0
LN115779,C01451,Vehicle,3482888,3350654,36,8.81,106253.86,1.11,2026-01-24,58,42,0.368,High,0,Insufficient Repayment Capacity,2.92,Rejected,0
LN959920,C01452,Business,4549744,4496082,36,12.67,150777.11,1.32,2024-08-21,65,35,0.41,High,0,Insufficient Repayment Capacity,3.28,Rejected,0
LN758239,C01453,Medical,472309,470748,36,14.33,16164.6,0.25,2024-06-28,30,70,0.2,Medium,1,N/A,0.6,Active,0
LN548863,C01454,Business,1829768,1699335,48,14.72,47052.92,0.84,2026-06-05,58,42,0.368,High,0,Insufficient Repayment Capacity,2.52,Rejected,0
LN540664,C01455,Education,158522,147518,60,11.11,3215.5,0.19,2025-03-28,58,42,0.368,High,1,N/A,0.74,Active,0
LN953987,C01456,Medical,3425517,3391768,24,11.87,159456.46,1.09,2025-07-17,55,45,0.35,High,0,Insufficient Repayment Capacity,1.93,Rejected,0
LN769638,C01457,Personal,183399,158341,24,15.79,7736.99,0.28,2024-07-11,63,37,0.398,High,1,N/A,0.47,Defaulted,1
LN706986,C01458,Education,161104,122696,36,8.43,3869.23,0.47,2026-04-28,70,30,0.44,High,1,N/A,1.23,Closed,0
LN606106,C01459,Home Renovation,2666575,2512867,60,10.61,54148.34,0.25,2024-08-24,42,58,0.272,Medium,1,N/A,0.97,Active,0
LN930139,C01460,Vehicle,1665346,1396951,48,11.52,36458.71,0.29,2025-09-29,32,68,0.212,Medium,1,N/A,0.91,Defaulted,1
LN173217,C01461,Medical,546981,398388,24,15.7,19449.26,0.62,2025-07-22,55,45,0.35,High,0,Insufficient Repayment Capacity,1.05,Rejected,0
LN502543,C01462,Education,162035,152658,36,13.88,5208.6,0.34,2026-04-06,75,25,0.47,High,1,N/A,0.83,Defaulted,1
LN427322,C01463,Business,664295,622120,36,13.58,21135.9,0.22,2025-12-19,42,58,0.272,Medium,1,N/A,0.55,Defaulted,1
LN328347,C01464,Vehicle,399399,393307,60,9.61,8281.34,0.21,2026-04-26,25,75,0.17,Medium,1,N/A,0.82,Closed,0
LN914645,C01465,Home Renovation,338809,294458,60,8.81,6085.35,0.21,2024-07-12,23,77,0.158,Low,1,N/A,0.84,Active,0
LN800989,C01466,Business,2946055,2421372,36,14.09,82862.64,0.75,2024-07-20,40,60,0.26,Medium,0,Insufficient Repayment Capacity,1.83,Rejected,0
LN522863,C01467,Education,193311,161698,60,13.88,3752.38,0.2,2025-07-17,58,42,0.368,High,1,N/A,0.72,Closed,0
LN360872,C01468,Personal,1336768,1277599,12,20.61,118723.06,1.98,2025-03-16,55,45,0.35,High,0,Insufficient Repayment Capacity,1.78,Rejected,0
LN972713,C01469,Personal,1534956,1199662,24,16.39,58962.98,0.53,2024-12-11,50,50,0.32,High,1,N/A,0.89,Defaulted,1
LN866065,C01470,Vehicle,1923128,1900779,24,11.24,88803.14,0.89,2025-08-12,60,40,0.38,High,0,Insufficient Repayment Capacity,1.59,Rejected,0
LN685571,C01471,Education,101446,92467,48,12.21,2444.56,0.09,2026-02-14,68,32,0.428,High,1,N/A,0.29,Defaulted,1
LN847664,C01472,Business,3264177,3205049,48,11.78,84055.44,0.8,2026-03-04,48,52,0.308,Medium,0,Insufficient Repayment Capacity,2.53,Rejected,0
LN278536,C01473,Medical,1974448,1472248,36,12.58,49308.54,0.54,2025-09-21,50,50,0.32,High,0,Insufficient Repayment Capacity,1.33,Rejected,0
LN234904,C01474,Home Renovation,2695044,2619897,48,9.72,66095.62,0.68,2024-11-05,68,32,0.428,High,0,Insufficient Repayment Capacity,2.24,Rejected,0
LN213252,C01475,Personal,551971,474144,36,17.82,17098.66,0.15,2025-04-21,40,60,0.26,Medium,1,N/A,0.34,Defaulted,1
LN610443,C01476,Business,3566952,3065627,60,13.32,70255.65,0.68,2025-03-28,51,49,0.326,High,1,N/A,2.46,Closed,0
LN173833,C01477,Business,2769155,2234462,36,9.9,71994.94,1.12,2024-07-28,58,42,0.368,High,0,Insufficient Repayment Capacity,2.9,Rejected,0
LN297464,C01478,Personal,400974,334481,24,17.42,16605.08,0.25,2025-08-28,23,77,0.158,Low,1,N/A,0.41,Defaulted,1
LN209420,C01479,Personal,1271368,1026402,36,18.98,37613.43,0.81,2024-08-02,35,65,0.23,Medium,0,Insufficient Repayment Capacity,1.84,Rejected,0
LN180247,C01480,Personal,2647713,2254023,12,22.3,211289.46,1.95,2026-02-05,65,35,0.41,High,0,Insufficient Repayment Capacity,1.73,Rejected,0
LN580325,C01481,Vehicle,283201,221957,36,9.79,7140.06,0.07,2024-11-05,25,75,0.17,Medium,1,N/A,0.17,Closed,0
LN583361,C01482,Medical,80798,66259,36,18.25,2403.74,0.04,2024-09-26,31,69,0.206,Medium,1,N/A,0.09,Active,0
LN837801,C01483,Home Renovation,2283907,2279761,48,8.27,55945.01,0.89,2026-05-21,63,37,0.398,High,0,Insufficient Repayment Capacity,3.01,Rejected,0
LN324527,C01484,Business,2083918,1512555,36,15.88,53087.38,0.71,2025-03-25,50,50,0.32,High,0,Insufficient Repayment Capacity,1.68,Rejected,0
LN855661,C01485,Home Renovation,148502,145630,48,9.25,3641.32,0.03,2025-12-12,15,85,0.11,Low,1,N/A,0.09,Closed,0
LN133764,C01486,Home Renovation,4046763,3772428,48,11.05,97592.0,0.42,2024-07-22,50,50,0.32,High,0,Insufficient Repayment Capacity,1.36,Rejected,0
LN464880,C01487,Personal,2196728,1600273,24,22.64,83525.84,1.07,2025-10-15,50,50,0.32,High,0,Insufficient Repayment Capacity,1.71,Rejected,0
LN172247,C01488,Personal,50000,45316,24,19.63,2298.21,2.68,2025-11-14,100,0,0.62,High,0,High Risk,4.41,Rejected,0
LN344322,C01489,Vehicle,5791216,4707030,60,8.54,96662.7,0.7,2025-11-20,58,42,0.368,High,1,N/A,2.85,Defaulted,1
LN494053,C01490,Home Renovation,1611229,1310245,60,8.64,26970.18,0.19,2026-03-07,28,72,0.188,Medium,1,N/A,0.75,Closed,0
LN570661,C01491,Vehicle,672671,623185,48,10.48,15949.62,0.26,2025-11-28,13,87,0.098,Low,1,N/A,0.83,Closed,0
LN729500,C01492,Vehicle,926667,750783,60,8.12,15266.33,0.11,2026-02-21,35,65,0.23,Medium,1,N/A,0.47,Active,0
LN405252,C01493,Personal,2115504,1742601,12,23.75,164568.89,1.87,2025-09-08,50,50,0.32,High,0,Insufficient Repayment Capacity,1.65,Rejected,0
LN715053,C01494,Medical,1661907,1363302,12,11.69,120930.11,1.32,2025-05-26,35,65,0.23,Medium,0,Insufficient Repayment Capacity,1.24,Rejected,0
LN718928,C01495,Business,4066449,3527766,48,15.59,99238.66,0.61,2024-09-21,60,40,0.38,High,0,Insufficient Repayment Capacity,1.79,Rejected,0
LN403644,C01496,Education,596648,501938,36,8.38,15817.05,0.54,2025-03-08,78,22,0.488,High,0,Insufficient Repayment Capacity,1.43,Rejected,0
LN851219,C01497,Business,2929781,2219538,60,10.58,47794.54,0.47,2024-06-05,55,45,0.35,High,0,Insufficient Repayment Capacity,1.83,Rejected,0
LN281367,C01498,Education,535309,385568,36,9.54,12358.09,0.46,2025-09-02,73,27,0.458,High,1,N/A,1.19,Defaulted,1
LN186541,C01499,Home Renovation,4237882,3519874,60,10.76,76109.97,0.65,2025-04-22,68,32,0.428,High,0,Insufficient Repayment Capacity,2.52,Rejected,0
LN625573,C01500,Business,300000,245495,48,13.45,6640.98,2.04,2025-11-05,100,0,0.62,High,0,High Risk,6.28,Rejected,0
LN470264,C01501,Business,7352579,6503400,60,9.96,138050.07,0.65,2024-07-16,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.55,Rejected,0
LN479958,C01502,Home Renovation,6488358,4594494,48,9.21,114792.87,0.79,2025-01-22,73,27,0.458,High,0,Insufficient Repayment Capacity,2.65,Rejected,0
LN153514,C01503,Education,200638,191701,60,13.38,4399.17,0.35,2024-12-02,53,47,0.338,High,1,N/A,1.29,Closed,0
LN215357,C01504,Vehicle,1058770,972409,48,9.96,24644.13,0.63,2024-07-15,68,32,0.428,High,0,Insufficient Repayment Capacity,2.06,Rejected,0
LN455060,C01505,Education,210018,167606,60,11.62,3696.2,0.14,2025-06-05,87,13,0.542,High,0,High Risk,0.54,Rejected,0
LN360663,C01506,Vehicle,1941733,1728317,24,9.88,79657.37,0.74,2025-07-17,20,80,0.14,Low,0,Insufficient Repayment Capacity,1.34,Rejected,0
LN534409,C01507,Medical,1064580,868962,12,13.97,78009.33,1.29,2024-08-24,60,40,0.38,High,0,Insufficient Repayment Capacity,1.2,Rejected,0
LN643405,C01508,Vehicle,4256352,3026665,48,11.21,78534.76,0.56,2026-02-21,40,60,0.26,Medium,0,Insufficient Repayment Capacity,1.79,Rejected,0
LN391430,C01509,Education,263919,219594,36,11.64,7255.96,0.34,2025-08-12,82,18,0.512,High,0,High Risk,0.85,Rejected,0
LN877844,C01510,Education,106986,103190,36,9.9,3324.81,0.12,2026-01-25,51,49,0.326,High,1,N/A,0.31,Active,0
LN358544,C01511,Vehicle,1874971,1434819,60,10.88,31110.64,0.35,2025-05-27,65,35,0.41,High,1,N/A,1.36,Defaulted,1
LN208868,C01512,Business,461642,323867,36,15.11,11244.41,0.07,2026-03-18,8,92,0.068,Low,1,N/A,0.17,Closed,0
LN780092,C01513,Education,117162,86590,36,11.36,2849.63,0.38,2025-01-27,63,37,0.398,High,1,N/A,0.96,Defaulted,1
LN265769,C01514,Business,5247160,4616563,48,11.9,121345.26,0.62,2026-04-30,65,35,0.41,High,0,Insufficient Repayment Capacity,1.97,Rejected,0
LN771667,C01515,Medical,63128,56858,24,18.39,2849.31,0.23,2025-01-07,100,0,0.62,High,0,High Risk,0.38,Rejected,0
LN496422,C01516,Business,741046,740331,36,11.75,24501.28,0.1,2025-09-08,18,82,0.128,Low,1,N/A,0.26,Closed,0
LN636278,C01517,Business,407773,404509,36,11.23,13287.21,0.1,2024-06-12,30,70,0.2,Medium,1,N/A,0.26,Closed,0
LN768596,C01518,Vehicle,1851071,1665535,24,9.17,76219.51,1.59,2025-06-05,71,29,0.446,High,0,Insufficient Repayment Capacity,2.89,Rejected,0
LN627546,C01519,Vehicle,3061669,2200020,48,9.44,55208.39,0.61,2025-09-10,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.02,Rejected,0
LN712545,C01520,Personal,1910774,1523951,12,22.27,142831.35,2.69,2026-05-13,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.4,Rejected,0
LN737938,C01521,Medical,2578105,2450119,12,12.7,218493.25,2.63,2025-04-28,51,49,0.326,High,0,Insufficient Repayment Capacity,2.45,Rejected,0
LN344980,C01522,Personal,2891353,2311715,12,20.48,214676.0,1.89,2024-08-30,50,50,0.32,High,0,Insufficient Repayment Capacity,1.7,Rejected,0
LN968779,C01523,Personal,87260,74336,24,23.81,3923.18,0.03,2026-01-13,20,80,0.14,Low,1,N/A,0.04,Active,0
LN589900,C01524,Home Renovation,4340349,3426721,60,8.16,69744.24,0.6,2025-09-18,63,37,0.398,High,0,Insufficient Repayment Capacity,2.44,Rejected,0
LN654987,C01525,Personal,2211361,1707796,36,14.75,58992.44,0.49,2024-12-22,20,80,0.14,Low,1,N/A,1.19,Active,0
LN552781,C01526,Personal,117424,113468,12,18.58,10434.09,0.05,2024-07-16,15,85,0.11,Low,1,N/A,0.04,Active,0
LN692647,C01527,Medical,931326,749503,12,12.09,66623.99,0.3,2025-03-02,35,65,0.23,Medium,1,N/A,0.28,Closed,0
LN430119,C01528,Business,2287834,2128139,48,9.93,53903.59,0.83,2025-05-27,38,62,0.248,Medium,0,Insufficient Repayment Capacity,2.72,Rejected,0
LN149682,C01529,Home Renovation,1429047,1170653,48,11.74,30678.55,0.21,2026-04-23,18,82,0.128,Low,1,N/A,0.66,Closed,0
LN864630,C01530,Education,126833,89742,60,10.36,1922.69,0.2,2026-01-24,58,42,0.368,High,1,N/A,0.78,Active,0
LN698535,C01531,Business,783350,570499,60,12.5,12835.05,0.17,2025-10-25,25,75,0.17,Medium,1,N/A,0.63,Closed,0
LN519434,C01532,Home Renovation,6216656,5409101,48,11.66,141541.07,0.91,2024-12-12,68,32,0.428,High,0,Insufficient Repayment Capacity,2.91,Rejected,0
LN915745,C01533,Education,289328,211684,48,12.05,5579.65,0.34,2026-01-24,90,10,0.56,High,0,High Risk,1.07,Rejected,0
LN848321,C01534,Vehicle,3642052,2718303,36,11.2,89251.43,0.39,2024-12-04,42,58,0.272,Medium,1,N/A,0.98,Defaulted,1
LN756717,C01535,Medical,1038425,1013545,36,14.81,35040.64,0.59,2024-09-24,30,70,0.2,Medium,1,N/A,1.43,Closed,0
LN804035,C01536,Personal,52945,46240,24,25.23,2473.24,0.21,2025-02-12,98,2,0.608,High,0,High Risk,0.32,Rejected,0
LN693081,C01537,Business,3338150,3011844,48,13.3,81249.41,0.55,2024-08-16,43,57,0.278,Medium,1,N/A,1.7,Defaulted,1
LN875751,C01538,Home Renovation,1455967,1316399,60,10.11,28040.89,0.2,2025-01-02,18,82,0.128,Low,1,N/A,0.78,Active,0
LN221816,C01539,Medical,2188038,1901012,24,13.71,91012.84,0.85,2025-01-02,55,45,0.35,High,0,Insufficient Repayment Capacity,1.48,Rejected,0
LN677536,C01540,Vehicle,212358,169990,60,9.89,3602.59,0.13,2025-07-10,43,57,0.278,Medium,1,N/A,0.53,Closed,0
LN387617,C01541,Home Renovation,859135,757511,60,11.04,16485.24,0.14,2024-07-17,15,85,0.11,Low,1,N/A,0.53,Active,0
LN286379,C01542,Personal,1424423,1123734,24,14.05,53980.26,0.98,2025-03-30,48,52,0.308,Medium,0,Insufficient Repayment Capacity,1.7,Rejected,0
LN507873,C01543,Home Renovation,4663197,4415849,60,9.1,91880.23,0.4,2025-05-14,25,75,0.17,Medium,1,N/A,1.59,Closed,0
LN395765,C01544,Medical,12655847,9400472,24,16.15,460950.38,1.88,2026-01-20,25,75,0.17,Medium,0,Insufficient Repayment Capacity,3.19,Rejected,0
LN854791,C01545,Education,179288,156100,60,11.67,3446.38,0.19,2024-07-21,68,32,0.428,High,1,N/A,0.7,Defaulted,1
LN755561,C01546,Medical,50000,41913,12,21.27,3908.11,14.8,2025-08-14,100,0,0.62,High,0,High Risk,13.23,Rejected,0
LN402715,C01547,Business,1432496,1112452,60,13.28,25471.44,0.22,2026-03-16,25,75,0.17,Medium,1,N/A,0.8,Active,0
LN124376,C01548,Vehicle,5248906,4393905,60,11.27,96126.85,0.55,2024-06-06,51,49,0.326,High,1,N/A,2.11,Defaulted,1
LN460409,C01549,Business,4667573,4105960,36,11.36,135124.94,0.97,2026-04-23,53,47,0.338,High,0,Insufficient Repayment Capacity,2.45,Rejected,0
LN168548,C01550,Business,591199,438960,36,12.72,14731.17,0.29,2025-09-15,18,82,0.128,Low,1,N/A,0.72,Closed,0
LN408343,C01551,Education,120577,118731,60,12.85,2692.39,0.15,2025-05-09,51,49,0.326,High,1,N/A,0.55,Closed,0
LN128511,C01552,Personal,3985462,3297347,24,21.03,169484.91,1.37,2025-10-26,53,47,0.338,High,0,Insufficient Repayment Capacity,2.22,Rejected,0
LN364012,C01553,Medical,1831048,1320046,36,19.09,48447.72,0.65,2024-11-28,48,52,0.308,Medium,0,Insufficient Repayment Capacity,1.47,Rejected,0
LN124487,C01554,Medical,841779,760752,36,16.64,26986.78,0.25,2025-03-28,30,70,0.2,Medium,1,N/A,0.6,Closed,0
LN775536,C01555,Education,123760,115191,60,13.86,2671.94,0.36,2025-05-12,63,37,0.398,High,1,N/A,1.29,Defaulted,1
LN141779,C01556,Education,511074,503643,36,11.15,16524.42,0.69,2026-01-30,93,7,0.578,High,0,High Risk,1.74,Rejected,0
LN235115,C01557,Vehicle,3773885,3119466,36,10.59,101522.7,0.73,2026-04-13,55,45,0.35,High,0,Insufficient Repayment Capacity,1.86,Rejected,0
LN848985,C01558,Education,344774,316464,48,11.8,8302.67,0.5,2024-09-01,95,5,0.59,High,0,High Risk,1.6,Rejected,0
LN724137,C01559,Vehicle,4057517,2916780,48,11.56,76181.39,0.52,2026-03-26,60,40,0.38,High,0,Insufficient Repayment Capacity,1.66,Rejected,0
LN393528,C01560,Business,896720,827748,48,13.86,22561.35,0.71,2026-03-24,51,49,0.326,High,1,N/A,2.18,Closed,0
LN629444,C01561,Vehicle,200000,141745,24,10.18,6552.59,0.67,2026-04-26,100,0,0.62,High,0,High Risk,1.21,Rejected,0
LN489975,C01562,Home Renovation,4056977,3592556,60,10.85,77842.4,0.34,2025-02-15,30,70,0.2,Medium,1,N/A,1.31,Active,0
LN785230,C01563,Medical,1847562,1790719,24,13.88,85876.1,1.59,2024-12-13,63,37,0.398,High,0,Insufficient Repayment Capacity,2.76,Rejected,0
LN349348,C01564,Vehicle,858936,745440,48,10.2,18977.96,0.4,2026-04-10,30,70,0.2,Medium,1,N/A,1.32,Defaulted,1
LN305517,C01565,Business,9911039,7439036,60,10.54,160041.34,0.66,2026-05-30,73,27,0.458,High,0,Insufficient Repayment Capacity,2.56,Rejected,0
LN725635,C01566,Vehicle,3958552,3082481,60,11.13,67220.62,0.56,2025-04-16,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.13,Rejected,0
LN145855,C01567,Home Renovation,5182315,4694772,48,11.79,123147.84,1.09,2026-03-25,45,55,0.29,Medium,0,Insufficient Repayment Capacity,3.45,Rejected,0
LN313984,C01568,Home Renovation,4562266,3985543,60,9.31,83334.24,0.75,2026-04-03,61,39,0.386,High,0,Insufficient Repayment Capacity,2.99,Rejected,0
LN334027,C01569,Medical,83862,61980,24,13.73,2967.94,0.09,2026-02-01,10,90,0.08,Low,1,N/A,0.16,Active,0
LN891903,C01570,Business,2493399,2084090,60,12.02,46380.5,0.51,2025-08-28,42,58,0.272,Medium,1,N/A,1.92,Defaulted,1
LN429251,C01571,Education,198338,161141,48,12.35,4271.2,0.37,2026-01-18,88,12,0.548,High,0,High Risk,1.16,Rejected,0
LN978147,C01572,Medical,1776939,1697960,12,11.28,150290.38,0.62,2024-12-08,55,45,0.35,High,0,Insufficient Repayment Capacity,0.58,Rejected,0
LN364922,C01573,Home Renovation,647301,610022,48,8.68,15087.9,0.09,2025-01-19,18,82,0.128,Low,1,N/A,0.31,Active,0
LN595465,C01574,Business,2235212,2068353,36,15.73,72441.75,1.03,2024-06-07,66,34,0.416,High,0,Insufficient Repayment Capacity,2.44,Rejected,0
LN842389,C01575,Medical,451228,372744,12,19.71,34477.24,1.36,2025-03-29,58,42,0.368,High,0,Insufficient Repayment Capacity,1.23,Rejected,0
LN257289,C01576,Vehicle,888234,646386,36,8.43,20383.85,0.28,2024-09-08,45,55,0.29,Medium,1,N/A,0.75,Active,0
LN969614,C01577,Vehicle,1797181,1530650,24,9.9,70561.11,1.29,2025-09-06,66,34,0.416,High,0,Insufficient Repayment Capacity,2.33,Rejected,0
LN603630,C01578,Home Renovation,2515078,1886030,60,10.53,40566.18,0.47,2025-04-12,65,35,0.41,High,0,Insufficient Repayment Capacity,1.8,Rejected,0
LN334988,C01579,Home Renovation,106503,79150,60,9.42,1659.2,0.02,2024-11-29,35,65,0.23,Medium,1,N/A,0.08,Closed,0
LN734087,C01580,Personal,4599391,4069492,24,19.51,206147.23,1.76,2025-08-02,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.89,Rejected,0
LN502746,C01581,Personal,1370470,1359219,12,12.5,121083.12,3.03,2025-03-05,61,39,0.386,High,0,Insufficient Repayment Capacity,2.83,Rejected,0
LN396322,C01582,Education,131851,131685,48,10.57,3376.03,0.41,2024-06-27,87,13,0.542,High,0,High Risk,1.34,Rejected,0
LN223848,C01583,Personal,442657,311188,24,15.17,15113.61,0.54,2025-04-12,83,17,0.518,High,0,High Risk,0.92,Rejected,0
LN742315,C01584,Medical,967233,724854,12,19.24,66883.12,0.78,2025-08-28,40,60,0.26,Medium,0,Insufficient Repayment Capacity,0.71,Rejected,0
LN600753,C01585,Business,968768,756829,60,12.85,17162.13,0.4,2024-06-05,5,95,0.05,Low,1,N/A,1.47,Defaulted,1
LN524242,C01586,Business,300000,290053,60,16.76,7171.19,0.7,2026-03-05,100,0,0.62,High,0,High Risk,2.35,Rejected,0
LN495499,C01587,Personal,6643666,4902581,24,15.51,238899.38,1.33,2025-03-24,58,42,0.368,High,0,Insufficient Repayment Capacity,2.27,Rejected,0
LN636587,C01588,Medical,145873,141886,12,18.72,13056.78,0.29,2026-02-08,35,65,0.23,Medium,1,N/A,0.26,Defaulted,1
LN967464,C01589,Vehicle,1304531,1060126,48,9.04,26401.42,0.3,2024-11-03,50,50,0.32,High,1,N/A,1.02,Closed,0
LN535165,C01590,Business,900237,754798,36,12.69,25319.57,0.21,2024-06-23,20,80,0.14,Low,1,N/A,0.52,Closed,0
LN574305,C01591,Medical,2640371,2368252,12,11.31,209652.64,2.45,2024-11-27,58,42,0.368,High,0,Insufficient Repayment Capacity,2.3,Rejected,0
LN983551,C01592,Business,6455307,5639898,60,10.22,120442.59,0.8,2026-03-25,55,45,0.35,High,0,Insufficient Repayment Capacity,3.14,Rejected,0
LN166217,C01593,Personal,3164609,2557293,24,14.94,123921.68,1.28,2025-12-05,53,47,0.338,High,0,Insufficient Repayment Capacity,2.21,Rejected,0
LN196089,C01594,Business,315727,280931,48,15.1,7832.77,0.15,2025-09-24,30,70,0.2,Medium,1,N/A,0.43,Defaulted,1
LN516563,C01595,Personal,57151,45439,24,21.61,2348.55,0.18,2024-09-23,100,0,0.62,High,0,High Risk,0.28,Rejected,0
LN782002,C01596,Vehicle,2884625,2494554,24,10.68,115895.51,1.13,2024-12-30,56,44,0.356,High,0,Insufficient Repayment Capacity,2.02,Rejected,0
LN336612,C01597,Personal,1242556,940094,24,21.69,48626.55,0.6,2024-09-09,55,45,0.35,High,0,Insufficient Repayment Capacity,0.96,Rejected,0
LN422494,C01598,Personal,1398565,1044725,36,18.57,38068.71,0.4,2024-10-02,65,35,0.41,High,1,N/A,0.92,Defaulted,1
LN855681,C01599,Vehicle,551486,450783,48,9.03,11224.18,0.3,2025-12-09,30,70,0.2,Medium,1,N/A,1.01,Active,0
LN683641,C01600,Personal,1027181,801772,24,16.79,39560.57,0.85,2025-06-16,35,65,0.23,Medium,0,Insufficient Repayment Capacity,1.43,Rejected,0
LN125415,C01601,Medical,344927,322872,12,21.33,30114.99,1.57,2025-07-18,93,7,0.578,High,0,High Risk,1.4,Rejected,0
LN656611,C01602,Business,300000,276488,60,14.96,6571.83,1.69,2025-11-24,100,0,0.62,High,0,High Risk,5.92,Rejected,0
LN989892,C01603,Vehicle,908837,861982,60,8.13,17531.57,0.28,2025-07-18,47,53,0.302,Medium,1,N/A,1.15,Active,0
LN955134,C01604,Personal,2402082,1987298,24,23.83,104902.08,1.19,2025-09-14,51,49,0.326,High,0,Insufficient Repayment Capacity,1.88,Rejected,0
LN798347,C01605,Personal,5234256,4467839,36,20.27,166656.2,1.34,2026-02-16,63,37,0.398,High,0,Insufficient Repayment Capacity,2.99,Rejected,0
LN419343,C01606,Education,250955,224606,60,12.54,5057.74,0.25,2026-04-06,68,32,0.428,High,1,N/A,0.94,Closed,0
LN537176,C01607,Education,122064,112699,48,9.54,2833.51,0.29,2024-09-05,82,18,0.512,High,0,High Risk,0.95,Rejected,0
LN248800,C01608,Personal,2891949,2633875,36,21.05,99299.05,0.83,2026-04-05,50,50,0.32,High,0,Insufficient Repayment Capacity,1.83,Rejected,0
LN282439,C01609,Vehicle,374333,357023,36,9.76,11479.94,0.18,2025-09-23,42,58,0.272,Medium,1,N/A,0.47,Defaulted,1
LN458745,C01610,Personal,5740690,4547352,12,21.5,424513.09,2.65,2024-07-13,56,44,0.356,High,0,Insufficient Repayment Capacity,2.37,Rejected,0
